phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
phase4,multilingual_joint,afroxlmr,all,Hausa,test,0.6694 ± 0.0000,0.6684 ± 0.0000,0.6688 ± 0.0000,0.6686 ± 0.0000,0.7029 ± 0.0000,0.6370 ± 0.0000,0.6659 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,Igbo,test,0.6284 ± 0.0000,0.6300 ± 0.0000,0.6293 ± 0.0000,0.6293 ± 0.0000,0.6427 ± 0.0000,0.5890 ± 0.0000,0.6561 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,Yoruba,test,0.5740 ± 0.0000,0.5771 ± 0.0000,0.5759 ± 0.0000,0.5748 ± 0.0000,0.6032 ± 0.0000,0.5143 ± 0.0000,0.6070 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,afroxlmr,all,all,test,0.6565 ± 0.0000,0.6571 ± 0.0000,0.6576 ± 0.0000,0.6567 ± 0.0000,0.6824 ± 0.0000,0.6117 ± 0.0000,0.6759 ± 0.0000,1227.0000 ± 0.0000,18531.0000 ± 0.0000,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,English,test,0.7306 ± 0.0000,0.7302 ± 0.0000,0.7324 ± 0.0000,0.7298 ± 0.0000,0.7487 ± 0.0000,0.6855 ± 0.0000,0.7551 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,Hausa,test,0.5930 ± 0.0000,0.5932 ± 0.0000,0.5942 ± 0.0000,0.5925 ± 0.0000,0.6154 ± 0.0000,0.5581 ± 0.0000,0.6041 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,Igbo,test,0.5891 ± 0.0000,0.5875 ± 0.0000,0.5906 ± 0.0000,0.5879 ± 0.0000,0.6242 ± 0.0000,0.5152 ± 0.0000,0.6244 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,Yoruba,test,0.5710 ± 0.0000,0.5706 ± 0.0000,0.5725 ± 0.0000,0.5706 ± 0.0000,0.5987 ± 0.0000,0.5103 ± 0.0000,0.6028 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,mbert,all,all,test,0.6211 ± 0.0000,0.6203 ± 0.0000,0.6225 ± 0.0000,0.6203 ± 0.0000,0.6473 ± 0.0000,0.5669 ± 0.0000,0.6468 ± 0.0000,1126.4000 ± 0.0000,18531.0000 ± 0.0000,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,English,test,0.4658 ± 0.0000,0.4250 ± 0.0000,0.4611 ± 0.0000,0.3935 ± 0.0000,0.5869 ± 0.0000,0.0795 ± 0.0000,0.5142 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,Hausa,test,0.4501 ± 0.0000,0.4106 ± 0.0000,0.4467 ± 0.0000,0.3851 ± 0.0000,0.5650 ± 0.0000,0.0897 ± 0.0000,0.5005 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,Igbo,test,0.4418 ± 0.0000,0.4213 ± 0.0000,0.4413 ± 0.0000,0.3799 ± 0.0000,0.5533 ± 0.0000,0.0949 ± 0.0000,0.4917 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,Yoruba,test,0.4335 ± 0.0000,0.3849 ± 0.0000,0.4329 ± 0.0000,0.3703 ± 0.0000,0.5464 ± 0.0000,0.0742 ± 0.0000,0.4902 ± 0.0000,,,,,,,,,,,,,,0
phase4,multilingual_joint,xlmr,all,all,test,0.4478 ± 0.0000,0.4092 ± 0.0000,0.4455 ± 0.0000,0.3823 ± 0.0000,0.5635 ± 0.0000,0.0846 ± 0.0000,0.4987 ± 0.0000,1414.9000 ± 0.0000,18531.0000 ± 0.0000,,,,,,,,,,,,0
phase4,translation_impact,afroxlmr,English,English,test_shared,0.7620 ± 0.0000,0.7621 ± 0.0000,0.7626 ± 0.0000,0.7608 ± 0.0000,0.7991 ± 0.0000,0.7245 ± 0.0000,0.7589 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,afroxlmr,Hausa,Hausa,test_shared,0.6494 ± 0.0000,0.6479 ± 0.0000,0.6485 ± 0.0000,0.6480 ± 0.0000,0.6900 ± 0.0000,0.6163 ± 0.0000,0.6377 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,afroxlmr,Igbo,Igbo,test_shared,0.6068 ± 0.0000,0.6110 ± 0.0000,0.6087 ± 0.0000,0.6075 ± 0.0000,0.6209 ± 0.0000,0.5795 ± 0.0000,0.6221 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,afroxlmr,Yoruba,Yoruba,test_shared,0.5567 ± 0.0000,0.5606 ± 0.0000,0.5604 ± 0.0000,0.5560 ± 0.0000,0.5607 ± 0.0000,0.5156 ± 0.0000,0.5917 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,mbert,English,English,test_shared,0.7202 ± 0.0000,0.7196 ± 0.0000,0.7221 ± 0.0000,0.7187 ± 0.0000,0.7505 ± 0.0000,0.6571 ± 0.0000,0.7486 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,mbert,Hausa,Hausa,test_shared,0.5749 ± 0.0000,0.5749 ± 0.0000,0.5760 ± 0.0000,0.5751 ± 0.0000,0.5881 ± 0.0000,0.5426 ± 0.0000,0.5945 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,mbert,Igbo,Igbo,test_shared,0.5536 ± 0.0000,0.5589 ± 0.0000,0.5568 ± 0.0000,0.5538 ± 0.0000,0.5578 ± 0.0000,0.5250 ± 0.0000,0.5785 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,mbert,Yoruba,Yoruba,test_shared,0.5665 ± 0.0000,0.5717 ± 0.0000,0.5699 ± 0.0000,0.5660 ± 0.0000,0.5859 ± 0.0000,0.5192 ± 0.0000,0.5928 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,xlmr,English,English,test_shared,0.7399 ± 0.0000,0.7415 ± 0.0000,0.7413 ± 0.0000,0.7377 ± 0.0000,0.7839 ± 0.0000,0.6814 ± 0.0000,0.7478 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,xlmr,Hausa,Hausa,test_shared,0.5665 ± 0.0000,0.5712 ± 0.0000,0.5697 ± 0.0000,0.5658 ± 0.0000,0.5794 ± 0.0000,0.5327 ± 0.0000,0.5853 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,xlmr,Igbo,Igbo,test_shared,0.5323 ± 0.0000,0.5471 ± 0.0000,0.5372 ± 0.0000,0.5306 ± 0.0000,0.5426 ± 0.0000,0.4957 ± 0.0000,0.5534 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact,xlmr,Yoruba,Yoruba,test_shared,0.5125 ± 0.0000,0.5177 ± 0.0000,0.5166 ± 0.0000,0.5092 ± 0.0000,0.5368 ± 0.0000,0.4395 ± 0.0000,0.5514 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,afroxlmr_joint,all,Hausa,test_shared,0.6707 ± 0.0000,0.6698 ± 0.0000,0.6703 ± 0.0000,0.6700 ± 0.0000,0.7032 ± 0.0000,0.6384 ± 0.0000,0.6683 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,afroxlmr_joint,all,Igbo,test_shared,0.6274 ± 0.0000,0.6292 ± 0.0000,0.6284 ± 0.0000,0.6284 ± 0.0000,0.6387 ± 0.0000,0.5888 ± 0.0000,0.6577 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,afroxlmr_joint,all,Yoruba,test_shared,0.5726 ± 0.0000,0.5758 ± 0.0000,0.5746 ± 0.0000,0.5735 ± 0.0000,0.5986 ± 0.0000,0.5144 ± 0.0000,0.6075 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,mbert_joint,all,Hausa,test_shared,0.5932 ± 0.0000,0.5935 ± 0.0000,0.5946 ± 0.0000,0.5927 ± 0.0000,0.6142 ± 0.0000,0.5578 ± 0.0000,0.6062 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,mbert_joint,all,Igbo,test_shared,0.5878 ± 0.0000,0.5862 ± 0.0000,0.5893 ± 0.0000,0.5867 ± 0.0000,0.6223 ± 0.0000,0.5142 ± 0.0000,0.6236 ± 0.0000,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,mbert_joint,all,Yoruba,test_shared,0.5696 ± 0.0000,0.5691 ± 0.0000,0.5712 ± 0.0000,0.5692 ± 0.0000,0.5958 ± 0.0000,0.5093 ± 0.0000,0.6025 ± 0.0000,,,,,,,,,,,,,,0
phase4,zero_shot,afroxlmr,English,Hausa,test,0.4690 ± 0.0000,0.6360 ± 0.0000,0.4522 ± 0.0000,0.4021 ± 0.0000,0.5747 ± 0.0000,0.2857 ± 0.0000,0.3459 ± 0.0000,208.4000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,zero_shot,afroxlmr,English,Igbo,test,0.4094 ± 0.0000,0.6070 ± 0.0000,0.3881 ± 0.0000,0.2960 ± 0.0000,0.5463 ± 0.0000,0.1520 ± 0.0000,0.1897 ± 0.0000,208.4000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,zero_shot,afroxlmr,English,Yoruba,test,0.3769 ± 0.0000,0.6173 ± 0.0000,0.3542 ± 0.0000,0.2252 ± 0.0000,0.5328 ± 0.0000,0.0726 ± 0.0000,0.0703 ± 0.0000,208.4000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,zero_shot,mbert,English,Hausa,test,0.3986 ± 0.0000,0.4818 ± 0.0000,0.3789 ± 0.0000,0.2924 ± 0.0000,0.5416 ± 0.0000,0.2096 ± 0.0000,0.1261 ± 0.0000,140.7000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,zero_shot,mbert,English,Igbo,test,0.4003 ± 0.0000,0.5574 ± 0.0000,0.3797 ± 0.0000,0.2924 ± 0.0000,0.5376 ± 0.0000,0.1491 ± 0.0000,0.1905 ± 0.0000,140.7000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,zero_shot,mbert,English,Yoruba,test,0.3867 ± 0.0000,0.5920 ± 0.0000,0.3642 ± 0.0000,0.2458 ± 0.0000,0.5390 ± 0.0000,0.1150 ± 0.0000,0.0833 ± 0.0000,140.7000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,zero_shot,xlmr,English,Hausa,test,0.4554 ± 0.0000,0.5411 ± 0.0000,0.4410 ± 0.0000,0.3936 ± 0.0000,0.5655 ± 0.0000,0.2327 ± 0.0000,0.3824 ± 0.0000,289.5000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,zero_shot,xlmr,English,Igbo,test,0.4026 ± 0.0000,0.5323 ± 0.0000,0.3829 ± 0.0000,0.2995 ± 0.0000,0.5363 ± 0.0000,0.1392 ± 0.0000,0.2231 ± 0.0000,289.5000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
phase4,zero_shot,xlmr,English,Yoruba,test,0.3882 ± 0.0000,0.5173 ± 0.0000,0.3680 ± 0.0000,0.2657 ± 0.0000,0.5328 ± 0.0000,0.0835 ± 0.0000,0.1807 ± 0.0000,289.5000 ± 0.0000,4648.0000 ± 0.0000,,,,,,,,,,,,0
