phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
n/a,multilingual_joint,rf,all,Igbo,test,0.6140 ± 0.0000,0.6134 ± 0.0000,0.6133 ± 0.0000,0.6121 ± 0.0000,0.6456 ± 0.0000,0.5700 ± 0.0000,0.6205 ± 0.0000,,,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,Yoruba,test,0.5619 ± 0.0000,0.5610 ± 0.0000,0.5632 ± 0.0000,0.5616 ± 0.0000,0.5736 ± 0.0000,0.5158 ± 0.0000,0.5955 ± 0.0000,,,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,all,test,0.6131 ± 0.0000,0.6122 ± 0.0000,0.6134 ± 0.0000,0.6122 ± 0.0000,0.6350 ± 0.0000,0.5704 ± 0.0000,0.6312 ± 0.0000,6.7976 ± 0.0000,18531.0000 ± 0.0000,,,,,,,,,,,,0
n/a,multilingual_joint,rf,all,all,val,0.6353 ± 0.0000,0.6340 ± 0.0000,0.6340 ± 0.0000,0.6335 ± 0.0000,0.6732 ± 0.0000,0.6037 ± 0.0000,0.6237 ± 0.0000,6.7976 ± 0.0000,18531.0000 ± 0.0000,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,English,test,0.6373 ± 0.0000,0.6371 ± 0.0000,0.6387 ± 0.0000,0.6369 ± 0.0000,0.6667 ± 0.0000,0.5842 ± 0.0000,0.6597 ± 0.0000,,,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,Hausa,test,0.5703 ± 0.0000,0.5699 ± 0.0000,0.5707 ± 0.0000,0.5698 ± 0.0000,0.5933 ± 0.0000,0.5442 ± 0.0000,0.5718 ± 0.0000,,,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,Igbo,test,0.5733 ± 0.0000,0.5728 ± 0.0000,0.5732 ± 0.0000,0.5725 ± 0.0000,0.6082 ± 0.0000,0.5423 ± 0.0000,0.5671 ± 0.0000,,,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,Yoruba,test,0.5491 ± 0.0000,0.5483 ± 0.0000,0.5497 ± 0.0000,0.5485 ± 0.0000,0.5872 ± 0.0000,0.4891 ± 0.0000,0.5691 ± 0.0000,,,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,all,test,0.5826 ± 0.0000,0.5820 ± 0.0000,0.5831 ± 0.0000,0.5820 ± 0.0000,0.6138 ± 0.0000,0.5400 ± 0.0000,0.5922 ± 0.0000,3.0842 ± 0.0000,18531.0000 ± 0.0000,,,,,,,,,,,,0
n/a,multilingual_joint,svm,all,all,val,0.6010 ± 0.0000,0.5993 ± 0.0000,0.5998 ± 0.0000,0.5995 ± 0.0000,0.6525 ± 0.0000,0.5558 ± 0.0000,0.5901 ± 0.0000,3.0842 ± 0.0000,18531.0000 ± 0.0000,,,,,,,,,,,,0
phase3,monolingual,rf,English,English,test,0.6727 ± 0.0000,0.6717 ± 0.0000,0.6737 ± 0.0000,0.6722 ± 0.0000,0.6907 ± 0.0000,0.6279 ± 0.0000,0.6979 ± 0.0000,1.1000 ± 0.0000,4648.0000 ± 0.0000,,0.6966 ± 0.0000,0.6849 ± 0.0000,0.6475 ± 0.0000,0.6095 ± 0.0000,0.6712 ± 0.0000,0.7268 ± 0.0000,0.7562 ± 0.0000,0.7083 ± 0.0000,0.7636 ± 0.0000,0.7427 ± 0.0000,1
phase3,monolingual,rf,Hausa,Hausa,test,0.5998 ± 0.0000,0.5994 ± 0.0000,0.6003 ± 0.0000,0.5983 ± 0.0000,0.6247 ± 0.0000,0.5558 ± 0.0000,0.6143 ± 0.0000,0.9000 ± 0.0000,4628.0000 ± 0.0000,,0.6170 ± 0.0000,0.6327 ± 0.0000,0.5979 ± 0.0000,0.5193 ± 0.0000,0.5833 ± 0.0000,0.6488 ± 0.0000,0.6659 ± 0.0000,0.6322 ± 0.0000,0.6479 ± 0.0000,0.6486 ± 0.0000,1
phase3,monolingual,rf,Igbo,Igbo,test,0.5823 ± 0.0000,0.5808 ± 0.0000,0.5819 ± 0.0000,0.5807 ± 0.0000,0.6151 ± 0.0000,0.5327 ± 0.0000,0.5943 ± 0.0000,1.0000 ± 0.0000,4622.0000 ± 0.0000,,0.6020 ± 0.0000,0.6287 ± 0.0000,0.5614 ± 0.0000,0.5068 ± 0.0000,0.5791 ± 0.0000,0.6103 ± 0.0000,0.6770 ± 0.0000,0.6149 ± 0.0000,0.6520 ± 0.0000,0.6480 ± 0.0000,1
phase3,monolingual,rf,Yoruba,Yoruba,test,0.5529 ± 0.0000,0.5523 ± 0.0000,0.5546 ± 0.0000,0.5529 ± 0.0000,0.5646 ± 0.0000,0.5017 ± 0.0000,0.5925 ± 0.0000,1.1000 ± 0.0000,4633.0000 ± 0.0000,,0.5804 ± 0.0000,0.5497 ± 0.0000,0.5081 ± 0.0000,0.4955 ± 0.0000,0.5685 ± 0.0000,0.6186 ± 0.0000,0.6255 ± 0.0000,0.5510 ± 0.0000,0.6079 ± 0.0000,0.5948 ± 0.0000,1
phase3,translation_impact_singlemodel,rf_joint,all,Hausa,test_shared,0.6106 ± 0.0000,0.6099 ± 0.0000,0.6099 ± 0.0000,0.6091 ± 0.0000,0.6410 ± 0.0000,0.5783 ± 0.0000,0.6082 ± 0.0000,,,,,,,,,,,,,,0
phase3,translation_impact_singlemodel,rf_joint,all,Igbo,test_shared,0.6122 ± 0.0000,0.6117 ± 0.0000,0.6117 ± 0.0000,0.6104 ± 0.0000,0.6412 ± 0.0000,0.5697 ± 0.0000,0.6204 ± 0.0000,,,,,,,,,,,,,,0
phase3,translation_impact_singlemodel,rf_joint,all,Yoruba,test_shared,0.5605 ± 0.0000,0.5597 ± 0.0000,0.5619 ± 0.0000,0.5602 ± 0.0000,0.5696 ± 0.0000,0.5158 ± 0.0000,0.5953 ± 0.0000,,,,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+100Hausa,Hausa,test,0.5620 ± 0.0000,0.6155 ± 0.0000,0.5514 ± 0.0000,0.5406 ± 0.0000,0.6338 ± 0.0000,0.4637 ± 0.0000,0.5242 ± 0.0000,234.7000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+100Igbo,Igbo,test,0.5551 ± 0.0000,0.5849 ± 0.0000,0.5462 ± 0.0000,0.5434 ± 0.0000,0.6204 ± 0.0000,0.4964 ± 0.0000,0.5133 ± 0.0000,239.8000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+100Yoruba,Yoruba,test,0.4260 ± 0.0000,0.4861 ± 0.0000,0.4394 ± 0.0000,0.3770 ± 0.0000,0.4290 ± 0.0000,0.1801 ± 0.0000,0.5219 ± 0.0000,249.2000 ± 0.0000,4748.0000 ± 0.0000,100.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+500Hausa,Hausa,test,0.6074 ± 0.0000,0.6158 ± 0.0000,0.6021 ± 0.0000,0.5993 ± 0.0000,0.6643 ± 0.0000,0.5385 ± 0.0000,0.5952 ± 0.0000,262.0000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
phase4,few_shot,afroxlmr,English+500Igbo,Igbo,test,0.5869 ± 0.0000,0.5846 ± 0.0000,0.5846 ± 0.0000,0.5821 ± 0.0000,0.6430 ± 0.0000,0.5173 ± 0.0000,0.5860 ± 0.0000,279.2000 ± 0.0000,5148.0000 ± 0.0000,500.0000 ± 0.0000,,,,,,,,,,,0
