phase,scenario,model,train_lang,test_lang,split,accuracy,precision_macro,recall_macro,f1_macro,f1_Not Hate,f1_Neutral,f1_Hate,train_time_sec,n_train,shots,precision_Not Hate,recall_Not Hate,precision_Neutral,recall_Neutral,precision_Hate,recall_Hate,pr_auc_Not Hate,pr_auc_Neutral,pr_auc_Hate,pr_auc_macro,n_seeds
phase4,translation_impact_singlemodel,mbert_joint,all,Igbo,test_shared,0.5878,0.5862,0.5893,0.5867,0.6223,0.5142,0.6236,,,,,,,,,,,,,,0
phase4,translation_impact_singlemodel,mbert_joint,all,Yoruba,test_shared,0.5696,0.5691,0.5712,0.5692,0.5958,0.5093,0.6025,,,,,,,,,,,,,,0
phase4,zero_shot,afroxlmr,English,Hausa,test,0.469,0.636,0.4522,0.4021,0.5747,0.2857,0.3459,208.4,4648.0,,,,,,,,,,,,0
phase4,zero_shot,afroxlmr,English,Igbo,test,0.4094,0.607,0.3881,0.296,0.5463,0.152,0.1897,208.4,4648.0,,,,,,,,,,,,0
phase4,zero_shot,afroxlmr,English,Yoruba,test,0.3769,0.6173,0.3542,0.2252,0.5328,0.0726,0.0703,208.4,4648.0,,,,,,,,,,,,0
phase4,zero_shot,mbert,English,Hausa,test,0.3986,0.4818,0.3789,0.2924,0.5416,0.2096,0.1261,140.7,4648.0,,,,,,,,,,,,0
phase4,zero_shot,mbert,English,Igbo,test,0.4003,0.5574,0.3797,0.2924,0.5376,0.1491,0.1905,140.7,4648.0,,,,,,,,,,,,0
phase4,zero_shot,mbert,English,Yoruba,test,0.3867,0.592,0.3642,0.2458,0.539,0.115,0.0833,140.7,4648.0,,,,,,,,,,,,0
phase4,zero_shot,xlmr,English,Hausa,test,0.4554,0.5411,0.441,0.3936,0.5655,0.2327,0.3824,289.5,4648.0,,,,,,,,,,,,0
phase4,zero_shot,xlmr,English,Igbo,test,0.4026,0.5323,0.3829,0.2995,0.5363,0.1392,0.2231,289.5,4648.0,,,,,,,,,,,,0
phase4,zero_shot,xlmr,English,Yoruba,test,0.3882,0.5173,0.368,0.2657,0.5328,0.0835,0.1807,289.5,4648.0,,,,,,,,,,,,0
